Timestamp,Level of Study,Frequency of Movement,Methods Used,Ease of Finding Locations,Had Difficulty Finding Location,Problems Experienced,Wayfinding Method,Top Features Wanted,Most Frustrating Thing,Suggested Improvement
2026-08-12 15:49:46,Level 300,4-5 times,"Walking, Campus shuttle/bus, Taxi",Easy,Yes,"Confusing routes, Difficulty finding transportation at certain times",Ask another student/person,"Interactive campus map, Directions to buildings and lecture halls, Transport fares",I don't know,I can't tell
2026-08-12 15:52:08,Level 200,2-3 times,"Walking, Campus shuttle/bus",Easy,Yes,"Long waiting times for transportation, Not knowing when a shuttle/bus will arrive, Difficulty finding transportation at certain times",Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Transport fares",The cost,The cost - taking a taxi costs too much
2026-08-12 15:58:53,Level 100,Once,Personal vehicle,Easy,No,Other,Ask another student/person,"Live shuttle locations, Interactive campus map, Directions to buildings and lecture halls",Available parking space,Punctuality
2026-08-12 16:02:27,Level 100,2-3 times,Walking,Difficult,Yes,"Difficulty finding buildings or lecture halls, Confusing routes, Difficulty finding transportation at certain times",Ask another student/person,"Live shuttle locations, Pickup-point locations, Transport fares",Looking for a lecture hall,I don't know
2026-08-12 16:05:25,Level 200,2-3 times,Walking,Very easy,Yes,Other,Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Pickup-point locations",Transport fee,Transport fee because it's too much
2026-08-12 16:15:43,Level 200,2-3 times,"Walking, Campus shuttle/bus, Taxi",Very easy,Yes,"Unclear pickup points, Long waiting times for transportation, Not knowing when a shuttle/bus will arrive",Call/message someone for directions,"Estimated shuttle arrival times, Interactive campus map, Directions to buildings and lecture halls, Pickup-point locations",Nothing really,Reduction in transport fares
2026-08-12 16:29:12,Level 200,More than 5 times,Personal vehicle,Neutral,Yes,Long waiting times for transportation,Follow campus signs,"Live shuttle locations, Interactive campus map, Shuttle/bus route information",Paying for fuel,Free transportation
2026-08-12 16:33:25,Level 200,2-3 times,Walking,Neutral,Yes,Difficulty finding buildings or lecture halls,Ask another student/person,Pickup-point locations,If you don't know the place you're going to,Shuttles should be available at all times
2026-08-12 17:15:16,Level 200,4-5 times,Ride-hailing app,Neutral,Yes,Difficulty finding buildings or lecture halls,Ask another student/person,"Live shuttle locations, Interactive campus map, Accessibility information",The fare,The fare - they charge more even on short distances
2026-08-12 17:28:07,Level 200,Once,Walking,Very easy,No,"Long waiting times for transportation, Not knowing when a shuttle/bus will arrive, Difficulty finding transportation at certain times, Other",Call/message someone for directions,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map, Directions to buildings and lecture halls, Pickup-point locations, Transport fares, Shuttle/bus route information, Delay and service notifications, Accessibility information",Some areas being restricted,Signboards showing directions
2026-08-12 17:31:28,Level 400,4-5 times,"Walking, Taxi",Very easy,Yes,I have not experienced any problems,Google Maps,"Live shuttle locations, Interactive campus map, Transport fares",The people,The transport fares
2026-08-12 18:21:59,Level 200,4-5 times,Taxi,Difficult,Yes,Unclear pickup points,Ask another student/person,"Live shuttle locations, Pickup-point locations, Delay and service notifications","The long distances between places, especially in heavy traffic or with limited transport available - stressful and time-consuming",More shuttle buses and clear, real-time information
2026-08-12 18:25:41,Level 400,2-3 times,"Walking, Taxi",Easy,Yes,Not knowing when a shuttle/bus will arrive,Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map, Pickup-point locations, Accessibility information",N/A,N/A
2026-08-12 18:30:36,Level 200,2-3 times,"Walking, Campus shuttle/bus",Neutral,Yes,"Unclear pickup points, Long waiting times for transportation, Not knowing when a shuttle/bus will arrive",Ask another student/person,"Estimated shuttle arrival times, Interactive campus map, Shuttle/bus route information",Moving from one lecture hall to another within the estimated 10 minutes,Improvement in shuttle timing
2026-08-12 18:44:48,Level 200,2-3 times,Taxi,Neutral,Yes,Difficulty finding transportation at certain times,Ask another student/person,"Interactive campus map, Transport fares, Accessibility information",Not locating a place,Maybe an app where all the taxis could be
2026-08-12 18:48:27,Level 200,Once,Taxi,Easy,No,Not knowing when a shuttle/bus will arrive,Ask another student/person,"Live shuttle locations, Interactive campus map, Delay and service notifications",The sun,More rides on campus
2026-08-12 18:53:38,Level 200,2-3 times,"Walking, Taxi",Easy,Yes,"Difficulty finding buildings or lecture halls, Difficulty finding transportation at certain times",Google Maps,"Directions to buildings and lecture halls, Transport fares",The walking distance,The cost of transportation - it's expensive
2026-08-12 19:33:50,Level 200,More than 5 times,"Walking, Taxi, Ride-hailing app",Easy,Yes,"Difficulty finding buildings or lecture halls, Unclear pickup points, Difficulty finding transportation at certain times",Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map",Using taxis and paying the same fare for every destination,More buses to cut the cost of spending on taxis
2026-08-12 20:10:05,Level 200,2-3 times,Walking,Neutral,Yes,Unclear pickup points,Ask another student/person,Transport fares,The high transport fares,Reduce transport fares
2026-08-12 21:00:55,Level 200,2-3 times,Personal vehicle,Neutral,Yes,I have not experienced any problems,Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Interactive campus map",Nothing,Price
2026-08-12 21:27:51,Level 200,Once,Walking,Neutral,Yes,"Difficulty finding buildings or lecture halls, Not knowing when a shuttle/bus will arrive, Confusing routes",Google Maps,"Estimated shuttle arrival times, Directions to buildings and lecture halls",Don't know yet,Nothing
2026-08-13 02:57:07,Level 200,2-3 times,"Walking, Bicycle",Very easy,Yes,I have not experienced any problems,Google Maps,"Interactive campus map, Directions to buildings and lecture halls",I can't access the school's wifi at some places,A navigation app that integrates students' examination schedules
2026-08-13 06:04:23,Level 200,2-3 times,Walking,Very easy,No,I have not experienced any problems,Google Maps,"Live shuttle locations, Estimated shuttle arrival times, Pickup-point locations, Transport fares, Delay and service notifications, Accessibility information","Haven't experienced anything yet - non-resident with all lectures at own department (Statistics/JQB)",Live location of shuttles - resident friends struggle with this
2026-08-13 07:02:33,Level 200,2-3 times,Walking,Neutral,Yes,"Difficulty finding buildings or lecture halls, Confusing routes, Poor or insufficient campus signage, Difficulty finding transportation at certain times",Google Maps,"Live shuttle locations, Interactive campus map, Directions to buildings and lecture halls",Climbing mountainous roads,NA
2026-08-14 08:18:41,Level 200,4-5 times,Walking,Difficult,Yes,"Difficulty finding buildings or lecture halls, Poor or insufficient campus signage, Difficulty finding transportation at certain times",Google Maps,"Interactive campus map, Directions to buildings and lecture halls, Accessibility information",The human traffic,"The names of some buildings make them harder to find, especially when they are abbreviated"
